brand,sales_total_feb25,diesel_engine,with_hybrid_engine-incl_plug-in_hybrid,petrol_hybrid_engine-incl_plug-in_hybrid,diesel_hybrid_drive-incl_plug-in_hybrid,hybrid_engine-without_plug-in_hybrid,petrol_hybrid_engine-without_plug-in_hybrid,diesel_hybrid_engine-without_plug-in_hybrid,plug-in_hybrid_engine,gasoline_plug-in_hybrid_engine,diesel_plug-in_hybrid_engine,with_electric_drive-BEV
TOTAL NEW REGISTRATIONS,"203,434.00","32,116.00","77,687.00","63,804.00","13,880.00","58,153.00","45,485.00","12,667.00","19,534.00","18,319.00","1,213.00","35,949.00"
VW ,"41,037.00","11,573.00","6,495.00","6,494.00",0.00,"3,780.00","3,779.00",0.00,"2,715.00","2,715.00",0.00,"8,265.00"
BMW ,"17,079.00",420.00,"9,963.00","5,462.00","4,501.00","7,519.00","3,018.00","4,501.00","2,444.00","2,444.00",0.00,"3,550.00"
AUDI ,"15,891.00",887.00,"6,817.00","3,131.00","3,686.00","5,923.00","2,237.00","3,686.00",894.00,894.00,0.00,"3,313.00"
SEAT ,"12,789.00",899.00,"4,273.00","4,273.00",0.00,"2,037.00","2,037.00",0.00,"2,236.00","2,236.00",0.00,"2,492.00"
SKODA ,"15,041.00","4,486.00","1,760.00","1,760.00",0.00,775.00,775.00,0.00,985.00,985.00,0.00,"2,398.00"
MERCEDES ,"18,792.00","3,887.00","12,211.00","7,791.00","4,420.00","8,651.00","5,444.00","3,207.00","3,560.00","2,347.00","1,213.00","2,311.00"
HYUNDAI ,"6,247.00",7.00,"1,939.00","1,861.00",78.00,"1,523.00","1,445.00",78.00,416.00,416.00,0.00,"1,577.00"
OPEL ,"7,645.00",517.00,"1,167.00","1,167.00",0.00,"1,123.00","1,123.00",0.00,44.00,44.00,0.00,"1,445.00"
TESLA ,"1,429.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,429.00"
KIA ,"4,296.00",69.00,"1,042.00",966.00,76.00,843.00,767.00,76.00,199.00,199.00,0.00,"1,051.00"
RENAULT ,"3,877.00",234.00,"1,724.00","1,724.00",0.00,"1,645.00","1,645.00",0.00,79.00,79.00,0.00,850.00
FORD ,"9,398.00","3,352.00","4,163.00","4,162.00",0.00,"3,121.00","3,121.00",0.00,"1,042.00","1,041.00",0.00,818.00
VOLVO ,"5,659.00",0.00,"4,892.00","4,839.00",53.00,"2,307.00","2,254.00",53.00,"2,585.00","2,585.00",0.00,764.00
PORSCHE ,"2,348.00",0.00,812.00,812.00,0.00,342.00,342.00,0.00,470.00,470.00,0.00,758.00
MINI ,"1,976.00",1.00,303.00,263.00,40.00,303.00,263.00,40.00,0.00,0.00,0.00,720.00
MG ROEWE ,"1,753.00",0.00,969.00,969.00,0.00,884.00,884.00,0.00,85.00,85.00,0.00,692.00
TOYOTA ,"5,632.00",264.00,"3,400.00","3,400.00",0.00,"3,004.00","3,004.00",0.00,396.00,396.00,0.00,650.00
OTHER ,"1,110.00",50.00,156.00,143.00,12.00,104.00,92.00,12.00,52.00,51.00,0.00,425.00
DACIA ,"4,821.00",0.00,"1,450.00","1,450.00",0.00,"1,450.00","1,450.00",0.00,0.00,0.00,0.00,319.00
SMART ,281.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,281.00
POLESTAR ,263.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,263.00
CITROEN ,"3,866.00","1,878.00",818.00,818.00,0.00,816.00,816.00,0.00,2.00,2.00,0.00,242.00
PEUGEOT ,"4,595.00",720.00,"2,489.00","2,489.00",0.00,"2,330.00","2,330.00",0.00,159.00,159.00,0.00,216.00
LEAPMOTOR ,186.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.00
NISSAN ,"2,267.00",119.00,"1,466.00","1,466.00",0.00,"1,466.00","1,466.00",0.00,0.00,0.00,0.00,178.00
XPENG ,162.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162.00
BYD ,185.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,160.00
FIAT ,"2,811.00","1,940.00",714.00,714.00,0.00,714.00,714.00,0.00,0.00,0.00,0.00,151.00
GWM ,110.00,0.00,43.00,43.00,0.00,0.00,0.00,0.00,43.00,43.00,0.00,67.00
JEEP ,"1,114.00",0.00,689.00,689.00,0.00,658.00,658.00,0.00,31.00,31.00,0.00,36.00
SSANGYONG ,222.00,29.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.00
NIO ,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00
ALFA ROMEO ,649.00,46.00,433.00,433.00,0.00,430.00,430.00,0.00,3.00,3.00,0.00,21.00
VINFAST ,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00
ROLLS ROYCE ,43.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00
SUBARU ,341.00,0.00,208.00,208.00,0.00,208.00,208.00,0.00,0.00,0.00,0.00,14.00
LOTUS ,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00
LYNK & CO ,29.00,0.00,19.00,19.00,0.00,0.00,0.00,0.00,19.00,19.00,0.00,10.00
LUCID ,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00
MAZDA ,"3,038.00",53.00,"2,776.00","2,367.00",409.00,"2,378.00","1,969.00",409.00,398.00,398.00,0.00,9.00
LEXUS ,345.00,0.00,338.00,338.00,0.00,229.00,229.00,0.00,109.00,109.00,0.00,7.00
ALPINE ,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00
MASERATI ,22.00,0.00,7.00,7.00,0.00,7.00,7.00,0.00,0.00,0.00,0.00,3.00
MAXUS ,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
HONDA ,551.00,0.00,543.00,543.00,0.00,518.00,518.00,0.00,25.00,25.00,0.00,1.00
LANCIA ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
MAN ,89.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
ASTON MARTIN ,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BENTLEY ,57.00,0.00,41.00,41.00,0.00,1.00,1.00,0.00,40.00,40.00,0.00,0.00
CADILLAC ,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DS ,537.00,488.00,46.00,46.00,0.00,30.00,30.00,0.00,16.00,16.00,0.00,0.00
FERRARI ,140.00,0.00,69.00,69.00,0.00,0.00,0.00,0.00,69.00,69.00,0.00,0.00
FISKER ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
INEOS ,25.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IVECO ,84.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JAGUAR ,35.00,0.00,30.00,7.00,23.00,26.00,3.00,23.00,4.00,4.00,0.00,0.00
LAMBORGHINI ,115.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,25.00,25.00,0.00,0.00
LAND ROVER ,870.00,1.00,860.00,278.00,582.00,679.00,97.00,582.00,181.00,181.00,0.00,0.00
MITSUBISHI ,"1,406.00",2.00,449.00,449.00,0.00,275.00,275.00,0.00,174.00,174.00,0.00,0.00
MORGAN ,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SUZUKI ,"2,065.00",0.00,"2,063.00","2,063.00",0.00,"2,054.00","2,054.00",0.00,9.00,9.00,0.00,0.00